MQ2CharacterType member table from FUN_1001b360
ID | Name | Address
 97 | CombatAbilityTimer | 1013dc7c
 98 | LargestFreeInventory | 1013dc90
 99 | TargetOfTarget | 1013dca8
100 | RaidAssistTarget | 1013dcb8
101 | GroupAssistTarget | 1013dccc
102 | RaidMarkNPC | 1013dce0
103 | GroupMarkNPC | 1013dcec
104 | CountBuffs | 1013dcfc
105 | LanguageSkill | 1013dd08
106 | EnduranceBonus | 1013dd18
107 | CombatEffectsBonus | 1013dd28
108 | ShieldingBonus | 1013dd3c
109 | SpellShieldBonus | 1013dd4c
110 | AvoidanceBonus | 1013dd60
111 | AccuracyBonus | 1013dd70
112 | StunResistBonus | 1013dd80
113 | StrikeThroughBonus | 1013dd90
114 | AttackBonus | 1013dda4
115 | HPRegenBonus | 1013ddb0
116 | ManaRegenBonus | 1013ddc0
117 | DamageShieldBonus | 1013ddd0
118 | DoTShieldBonus | 1013dde4
119 | AttackSpeed | 1013ddf4
120 | GroupList | 1013de00
121 | AmIGroupLeader | 1013de0c
122 | CurrentEndurance | 1013d8ec
123 | EnduranceRegen | 1013de1c
124 | FreeBuffSlots | 1013de2c
125 | CurrentWeight | 1013de3c
126 | AAPointsSpent | 1013de4c
127 | AAPointsTotal | 1013de5c
128 | TributeActive | 1013de6c
129 | CombatAbilityReady | 1013de7c
130 | Running | 1013de90
131 | GroupSize | 1013de98
132 | TributeTimer | 1013dea4
133 | RadiantCrystals | 1013deb4
134 | EbonCrystals | 1013dec4
135 | Shrouded | 1013ded4
136 | AutoFire | 1013dee0
137 | Language | 1013deec
138 | Aura | 1013ab78
139 | LAMarkNPC | 1013def8
140 | LANPCHealth | 1013df04
141 | LADelegateMA | 1013df10
142 | LADelegateMarkNPC | 1013df20
143 | LAInspectBuffs | 1013df34
144 | LASpellAwareness | 1013df44
145 | LAOffenseEnhancement | 1013df58
146 | LAManaEnhancement | 1013df70
147 | LAHealthEnhancement | 1013df84
148 | LAHealthRegen | 1013df98
149 | LAFindPathPC | 1013dfa8
150 | LAHoTT | 1013dfb8
151 | ActiveFavorCost | 1013dfc0
152 | CombatState | 1013dfd0
153 | svCorruption | 1013dfdc
154 | svPrismatic | 1013dfec
155 | svChromatic | 1013dff8
156 | Doubloons | 1013e004
157 | Orux | 1013e010
158 | Phosphenes | 1013e018
159 | Phosphites | 1013e024
160 | Fellowship | 1013e030
161 | Downtime | 1013e03c
162 | DamageShieldMitigationBonus | 1013e048
163 | HeroicSTRBonus | 1013e064
164 | HeroicINTBonus | 1013e074
165 | HeroicWISBonus | 1013e084
166 | HeroicAGIBonus | 1013e094
167 | HeroicDEXBonus | 1013e0a4
168 | HeroicSTABonus | 1013e0b4
169 | HeroicCHABonus | 1013e0c4
170 | HealAmountBonus | 1013e0d4
171 | SpellDamageBonus | 1013e0e4
172 | ClairvoyanceBonus | 1013e0f8
173 | EnduranceRegenBonus | 1013e10c
174 | Counters | 1013e120
175 | Faycites | 1013e12c
176 | Chronobines | 1013e138
177 | Mercenary | 1013e144
178 | XTarget | 1013e150
179 | Haste | 1013e158
180 | MercenaryStance | 1013e160
181 | SkillCap | 1013e170
182 | GemTimer | 1013e17c
183 | HaveExpansion | 1013e188
184 | PctAggro | 1013e198
185 | SecondaryPctAggro | 1013e1a4
186 | SecondaryAggroPlayer | 1013e1b8
187 | AggroLock | 1013e1d0
